country,year,Ontario Demand,population,gdp,industrial,manuf,gdp_defl,service,household_con
Ontario,2005,156971620,12578931,596629.2,596629.2,104509,86.97,185033,332402
Ontario,2006,151054281,12700994,608043.8,608043.8,98699,88.69,193396,344037
Ontario,2007,152205637,12807208,613525.9,613525.9,91115,91.59,201332,353772
Ontario,2008,148675912,12927148,611784.2,611784.2,83692,92.61,201530,359840
Ontario,2009,139165604,13047485,591636.5,591636.5,72223,93.91,204114,361257
Ontario,2010,142194821,13189339,609770.3,609770.3,78581,96.27,214467,378764
Ontario,2011,141470780,13308659,625936.9,625936.9,81281,98.29,216604,378534
Ontario,2012,141287714,13434943,634944.3,634944.3,79217,100,220495,386358
Ontario,2013,140736784,13558528,643937,643937,81059,100.85,224926,396048
Ontario,2014,139803825,13661314,659861.2,659861.2,83547,102.74,229931,407875
Ontario,2015,137011780,13757688,677384,677384,86085,104.9,236079,421228
Ontario,2016,136989747,13946431,692620.8,692620.8,85131,106.82,240611,428774
Ontario,2017,132090992,14150783,711695.1,711695.1,85411,108.41,251465,449888
Ontario,2018,137436546,14392903,735936.1,735936.1,89378,109.85,254858,460061
Ontario,2019,135101455,14636131,752393.2,752393.2,86388,111.73,263119,466464
Ontario,2020,132225424,14721852,716151.8,716151.8,81644,112.43,224736,432290
Ontario,2021,133844210,14901607,752340.8,752340.8,83642,117.78,250784,459230
